
=== Strategy Vanity Finder (0x47...ea91e) ===

Factory: 0xaa28020dda6b954d16208eccf873d79ac6533833
Init Code Hash: 0x70edd96c806f7a3d0715e4f818ea64f06c5ae6b33cdf0d2257398e956bf0f1cb
Pattern: 0x47...ea91e

Searching with 28 CPU cores...

  Attempts: 9600000 | Rate: 26980610/s | Time: 0.4s
  Attempts: 9700000 | Rate: 26960402/s | Time: 0.4s
  Attempts: 9800000 | Rate: 26934636/s | Time: 0.4s
  Attempts: 9900000 | Rate: 26922768/s | Time: 0.4s
  Attempts: 10000000 | Rate: 26914314/s | Time: 0.4s
  Attempts: 10100000 | Rate: 26908303/s | Time: 0.4s
  Attempts: 10200000 | Rate: 26897873/s | Time: 0.4s
  Attempts: 10300000 | Rate: 26883283/s | Time: 0.4s
  Attempts: 10400000 | Rate: 26850017/s | Time: 0.4s
  Attempts: 10500000 | Rate: 26838033/s | Time: 0.4s
  Attempts: 10600000 | Rate: 26827859/s | Time: 0.4s
  Attempts: 10700000 | Rate: 26810405/s | Time: 0.4s
  Attempts: 10800000 | Rate: 26792454/s | Time: 0.4s
  Attempts: 10900000 | Rate: 26780411/s | Time: 0.4s
  Attempts: 11000000 | Rate: 26774457/s | Time: 0.4s
  Attempts: 11100000 | Rate: 26765900/s | Time: 0.4s
  Attempts: 11200000 | Rate: 26748849/s | Time: 0.4s
  Attempts: 11300000 | Rate: 26729019/s | Time: 0.4s
  Attempts: 11400000 | Rate: 26718003/s | Time: 0.4s
  Attempts: 11500000 | Rate: 26710073/s | Time: 0.4s
  Attempts: 11600000 | Rate: 26701735/s | Time: 0.4s
  Attempts: 11700000 | Rate: 26684802/s | Time: 0.4s
  Attempts: 11800000 | Rate: 26671898/s | Time: 0.4s
  Attempts: 11900000 | Rate: 26655341/s | Time: 0.4s
  Attempts: 12000000 | Rate: 26644161/s | Time: 0.5s
  Attempts: 12100000 | Rate: 26630879/s | Time: 0.5s
  Attempts: 12200000 | Rate: 26616756/s | Time: 0.5s
  Attempts: 12300000 | Rate: 26610860/s | Time: 0.5s
  Attempts: 12400000 | Rate: 26602229/s | Time: 0.5s
  Attempts: 12500000 | Rate: 26595453/s | Time: 0.5s
  Attempts: 12600000 | Rate: 26591061/s | Time: 0.5s
  Attempts: 12700000 | Rate: 26587021/s | Time: 0.5s
  Attempts: 12800000 | Rate: 26575047/s | Time: 0.5s
  Attempts: 12900000 | Rate: 26557636/s | Time: 0.5s
  Attempts: 13000000 | Rate: 26534490/s | Time: 0.5s
  Attempts: 13100000 | Rate: 26514467/s | Time: 0.5s
  Attempts: 13200000 | Rate: 26503276/s | Time: 0.5s
  Attempts: 13300000 | Rate: 26497829/s | Time: 0.5s
  Attempts: 13400000 | Rate: 26488740/s | Time: 0.5s
  Attempts: 13500000 | Rate: 26483587/s | Time: 0.5s
  Attempts: 13600000 | Rate: 26477356/s | Time: 0.5s
  Attempts: 13700000 | Rate: 26474330/s | Time: 0.5s
  Attempts: 13800000 | Rate: 26470729/s | Time: 0.5s
  Attempts: 13900000 | Rate: 26457027/s | Time: 0.5s
  Attempts: 14000000 | Rate: 26447708/s | Time: 0.5s
  Attempts: 14100000 | Rate: 26440012/s | Time: 0.5s
  Attempts: 14200000 | Rate: 26432391/s | Time: 0.5s
  Attempts: 14300000 | Rate: 26428964/s | Time: 0.5s
  Attempts: 14400000 | Rate: 26423236/s | Time: 0.5s
  Attempts: 14500000 | Rate: 26422827/s | Time: 0.5s
  Attempts: 14600000 | Rate: 26415712/s | Time: 0.6s
  Attempts: 14700000 | Rate: 26407537/s | Time: 0.6s
  Attempts: 14800000 | Rate: 26388891/s | Time: 0.6s
  Attempts: 14900000 | Rate: 26382894/s | Time: 0.6s
  Attempts: 15000000 | Rate: 26378938/s | Time: 0.6s
  Attempts: 15100000 | Rate: 26373459/s | Time: 0.6s
  Attempts: 15200000 | Rate: 26366634/s | Time: 0.6s
  Attempts: 15300000 | Rate: 26358512/s | Time: 0.6s
  Attempts: 15400000 | Rate: 26355591/s | Time: 0.6s
  Attempts: 15500000 | Rate: 26355241/s | Time: 0.6s
  Attempts: 15600000 | Rate: 26352249/s | Time: 0.6s
  Attempts: 15700000 | Rate: 26337236/s | Time: 0.6s
  Attempts: 15800000 | Rate: 26327658/s | Time: 0.6s
  Attempts: 15900000 | Rate: 26323229/s | Time: 0.6s
  Attempts: 16000000 | Rate: 26313669/s | Time: 0.6s
  Attempts: 16100000 | Rate: 26309020/s | Time: 0.6s
  Attempts: 16200000 | Rate: 26302293/s | Time: 0.6s
  Attempts: 16300000 | Rate: 26290845/s | Time: 0.6s
  Attempts: 16400000 | Rate: 26281696/s | Time: 0.6s
  Attempts: 16500000 | Rate: 26273075/s | Time: 0.6s
  Attempts: 16600000 | Rate: 26259475/s | Time: 0.6s
  Attempts: 16700000 | Rate: 26255399/s | Time: 0.6s
  Attempts: 16800000 | Rate: 26244929/s | Time: 0.6s
  Attempts: 16900000 | Rate: 26230813/s | Time: 0.6s
  Attempts: 17000000 | Rate: 26219438/s | Time: 0.6s
  Attempts: 17100000 | Rate: 26205246/s | Time: 0.7s
  Attempts: 17200000 | Rate: 26197203/s | Time: 0.7s
  Attempts: 17300000 | Rate: 26197675/s | Time: 0.7s
  Attempts: 17400000 | Rate: 26191806/s | Time: 0.7s
  Attempts: 17500000 | Rate: 26183464/s | Time: 0.7s
  Attempts: 17600000 | Rate: 26175587/s | Time: 0.7s
  Attempts: 17700000 | Rate: 26164111/s | Time: 0.7s
  Attempts: 17800000 | Rate: 26154171/s | Time: 0.7s
  Attempts: 17900000 | Rate: 26148566/s | Time: 0.7s
  Attempts: 18000000 | Rate: 26145940/s | Time: 0.7s
  Attempts: 18100000 | Rate: 26146651/s | Time: 0.7s
  Attempts: 18200000 | Rate: 26145369/s | Time: 0.7s
  Attempts: 18300000 | Rate: 26140722/s | Time: 0.7s
  Attempts: 18400000 | Rate: 26126519/s | Time: 0.7s
  Attempts: 18500000 | Rate: 26124246/s | Time: 0.7s
  Attempts: 18600000 | Rate: 26122408/s | Time: 0.7s
  Attempts: 18700000 | Rate: 26119818/s | Time: 0.7s
  Attempts: 18800000 | Rate: 26120830/s | Time: 0.7s
  Attempts: 18900000 | Rate: 26120092/s | Time: 0.7s
  Attempts: 19000000 | Rate: 26118939/s | Time: 0.7s
  Attempts: 19100000 | Rate: 26118076/s | Time: 0.7s
  Attempts: 19200000 | Rate: 26111235/s | Time: 0.7s
  Attempts: 19300000 | Rate: 26106927/s | Time: 0.7s
  Attempts: 19400000 | Rate: 26104085/s | Time: 0.7s
  Attempts: 19500000 | Rate: 26098754/s | Time: 0.7s
  Attempts: 19600000 | Rate: 26097575/s | Time: 0.8s
  Attempts: 19700000 | Rate: 26096969/s | Time: 0.8s
