
=== Strategy Vanity Finder (0x47...ea91e) ===

Factory: 0xaa28020dda6b954d16208eccf873d79ac6533833
Init Code Hash: 0x19ecc73b30d535be6d4d01a07b89535d8fa7c69b7b5266f8731cb999d91480ad
Pattern: 0x47...ea91e

Searching with 28 CPU cores...

  Attempts: 9600000 | Rate: 35714430/s | Time: 0.3s
  Attempts: 9700000 | Rate: 35710123/s | Time: 0.3s
  Attempts: 9800000 | Rate: 35724567/s | Time: 0.3s
  Attempts: 9900000 | Rate: 35739597/s | Time: 0.3s
  Attempts: 10000000 | Rate: 35751744/s | Time: 0.3s
  Attempts: 10100000 | Rate: 35772117/s | Time: 0.3s
  Attempts: 10200000 | Rate: 35786326/s | Time: 0.3s
  Attempts: 10300000 | Rate: 35791794/s | Time: 0.3s
  Attempts: 10400000 | Rate: 35808652/s | Time: 0.3s
  Attempts: 10500000 | Rate: 35825909/s | Time: 0.3s
  Attempts: 10600000 | Rate: 35836493/s | Time: 0.3s
  Attempts: 10700000 | Rate: 35848915/s | Time: 0.3s
  Attempts: 10800000 | Rate: 35867598/s | Time: 0.3s
  Attempts: 10900000 | Rate: 35859306/s | Time: 0.3s
  Attempts: 11000000 | Rate: 35843640/s | Time: 0.3s
  Attempts: 11100000 | Rate: 35855131/s | Time: 0.3s
  Attempts: 11200000 | Rate: 35860488/s | Time: 0.3s
  Attempts: 11300000 | Rate: 35871390/s | Time: 0.3s
  Attempts: 11400000 | Rate: 35888340/s | Time: 0.3s
  Attempts: 11500000 | Rate: 35904797/s | Time: 0.3s
  Attempts: 11600000 | Rate: 35914662/s | Time: 0.3s
  Attempts: 11700000 | Rate: 35926439/s | Time: 0.3s
  Attempts: 11800000 | Rate: 35935790/s | Time: 0.3s
  Attempts: 11900000 | Rate: 35946294/s | Time: 0.3s
  Attempts: 12000000 | Rate: 35956080/s | Time: 0.3s
  Attempts: 12100000 | Rate: 35969791/s | Time: 0.3s
  Attempts: 12200000 | Rate: 35967412/s | Time: 0.3s
  Attempts: 12300000 | Rate: 35947836/s | Time: 0.3s
  Attempts: 12400000 | Rate: 35952702/s | Time: 0.3s
  Attempts: 12500000 | Rate: 35955798/s | Time: 0.3s
  Attempts: 12600000 | Rate: 35965926/s | Time: 0.4s
  Attempts: 12700000 | Rate: 35971921/s | Time: 0.4s
  Attempts: 12800000 | Rate: 35983065/s | Time: 0.4s
  Attempts: 12900000 | Rate: 35986558/s | Time: 0.4s
  Attempts: 13100000 | Rate: 35994805/s | Time: 0.4s
  Attempts: 13200000 | Rate: 36006636/s | Time: 0.4s
  Attempts: 13300000 | Rate: 36020648/s | Time: 0.4s
  Attempts: 13400000 | Rate: 36034760/s | Time: 0.4s
  Attempts: 13000000 | Rate: 35983760/s | Time: 0.4s
  Attempts: 13500000 | Rate: 36021773/s | Time: 0.4s
  Attempts: 13600000 | Rate: 36016175/s | Time: 0.4s
  Attempts: 13700000 | Rate: 36021413/s | Time: 0.4s
  Attempts: 13800000 | Rate: 36028049/s | Time: 0.4s
  Attempts: 13900000 | Rate: 36035410/s | Time: 0.4s
  Attempts: 14000000 | Rate: 36046378/s | Time: 0.4s
  Attempts: 14100000 | Rate: 36044649/s | Time: 0.4s
  Attempts: 14200000 | Rate: 36049328/s | Time: 0.4s
  Attempts: 14300000 | Rate: 36056108/s | Time: 0.4s
  Attempts: 14400000 | Rate: 36060519/s | Time: 0.4s
  Attempts: 14500000 | Rate: 36062320/s | Time: 0.4s
  Attempts: 14600000 | Rate: 36067095/s | Time: 0.4s
  Attempts: 14700000 | Rate: 36071285/s | Time: 0.4s
  Attempts: 14800000 | Rate: 36061333/s | Time: 0.4s
  Attempts: 14900000 | Rate: 36056926/s | Time: 0.4s
  Attempts: 15000000 | Rate: 36058613/s | Time: 0.4s
  Attempts: 15100000 | Rate: 36057178/s | Time: 0.4s
  Attempts: 15200000 | Rate: 36058242/s | Time: 0.4s
  Attempts: 15300000 | Rate: 36062372/s | Time: 0.4s
  Attempts: 15400000 | Rate: 36064262/s | Time: 0.4s
  Attempts: 15500000 | Rate: 36067944/s | Time: 0.4s
  Attempts: 15600000 | Rate: 36073332/s | Time: 0.4s
  Attempts: 15700000 | Rate: 36079226/s | Time: 0.4s
  Attempts: 15800000 | Rate: 36083513/s | Time: 0.4s
  Attempts: 15900000 | Rate: 36076972/s | Time: 0.4s
  Attempts: 16000000 | Rate: 36071813/s | Time: 0.4s
  Attempts: 16100000 | Rate: 36057542/s | Time: 0.4s
  Attempts: 16200000 | Rate: 36056380/s | Time: 0.4s
  Attempts: 16300000 | Rate: 36055299/s | Time: 0.5s
  Attempts: 16400000 | Rate: 36053853/s | Time: 0.5s
  Attempts: 16500000 | Rate: 36057861/s | Time: 0.5s
  Attempts: 16600000 | Rate: 36063554/s | Time: 0.5s
  Attempts: 16700000 | Rate: 36067407/s | Time: 0.5s
  Attempts: 16800000 | Rate: 36072190/s | Time: 0.5s
  Attempts: 16900000 | Rate: 36075387/s | Time: 0.5s
  Attempts: 17000000 | Rate: 36079593/s | Time: 0.5s
  Attempts: 17100000 | Rate: 36086335/s | Time: 0.5s
  Attempts: 17200000 | Rate: 36094015/s | Time: 0.5s
  Attempts: 17300000 | Rate: 36098537/s | Time: 0.5s
  Attempts: 17400000 | Rate: 36094176/s | Time: 0.5s
  Attempts: 17500000 | Rate: 36099973/s | Time: 0.5s
  Attempts: 17600000 | Rate: 36096921/s | Time: 0.5s
  Attempts: 17700000 | Rate: 36096036/s | Time: 0.5s
  Attempts: 17800000 | Rate: 36101804/s | Time: 0.5s
  Attempts: 17900000 | Rate: 36108162/s | Time: 0.5s
  Attempts: 18000000 | Rate: 36116702/s | Time: 0.5s
  Attempts: 18100000 | Rate: 36125190/s | Time: 0.5s
  Attempts: 18200000 | Rate: 36125468/s | Time: 0.5s
  Attempts: 18300000 | Rate: 36131243/s | Time: 0.5s
  Attempts: 18400000 | Rate: 36139915/s | Time: 0.5s
