
=== Wrapper Vanity Finder (0x47...ea91e) ===

Factory: 0xaa28020dda6b954d16208eccf873d79ac6533833
Init Code Hash: 0x7f4e8166ddda12d0f4dbab33c68115dc924fa083ce4acdba8cd492573d4dc86f
Pattern: 0x47...ea91e

Searching with 28 CPU cores...

  Attempts: 9600000 | Rate: 35220310/s | Time: 0.3s
  Attempts: 9700000 | Rate: 35226945/s | Time: 0.3s
  Attempts: 9800000 | Rate: 35237675/s | Time: 0.3s
  Attempts: 9900000 | Rate: 35252046/s | Time: 0.3s
  Attempts: 10000000 | Rate: 35268872/s | Time: 0.3s
  Attempts: 10100000 | Rate: 35279805/s | Time: 0.3s
  Attempts: 10200000 | Rate: 35284087/s | Time: 0.3s
  Attempts: 10300000 | Rate: 35292779/s | Time: 0.3s
  Attempts: 10400000 | Rate: 35298362/s | Time: 0.3s
  Attempts: 10500000 | Rate: 35295185/s | Time: 0.3s
  Attempts: 10600000 | Rate: 35303080/s | Time: 0.3s
  Attempts: 10700000 | Rate: 35308401/s | Time: 0.3s
  Attempts: 10800000 | Rate: 35314689/s | Time: 0.3s
  Attempts: 10900000 | Rate: 35320446/s | Time: 0.3s
  Attempts: 11000000 | Rate: 35335051/s | Time: 0.3s
  Attempts: 11100000 | Rate: 35346747/s | Time: 0.3s
  Attempts: 11200000 | Rate: 35356275/s | Time: 0.3s
  Attempts: 11300000 | Rate: 35365444/s | Time: 0.3s
  Attempts: 11400000 | Rate: 35372881/s | Time: 0.3s
  Attempts: 11500000 | Rate: 35376463/s | Time: 0.3s
  Attempts: 11600000 | Rate: 35381109/s | Time: 0.3s
  Attempts: 11700000 | Rate: 35372394/s | Time: 0.3s
  Attempts: 11800000 | Rate: 35375447/s | Time: 0.3s
  Attempts: 11900000 | Rate: 35383107/s | Time: 0.3s
  Attempts: 12000000 | Rate: 35390960/s | Time: 0.3s
  Attempts: 12100000 | Rate: 35395630/s | Time: 0.3s
  Attempts: 12200000 | Rate: 35403344/s | Time: 0.3s
  Attempts: 12300000 | Rate: 35409868/s | Time: 0.3s
  Attempts: 12400000 | Rate: 35417761/s | Time: 0.4s
  Attempts: 12500000 | Rate: 35426156/s | Time: 0.4s
  Attempts: 12600000 | Rate: 35431957/s | Time: 0.4s
  Attempts: 12700000 | Rate: 35439042/s | Time: 0.4s
  Attempts: 12800000 | Rate: 35443946/s | Time: 0.4s
  Attempts: 12900000 | Rate: 35443791/s | Time: 0.4s
  Attempts: 13000000 | Rate: 35433969/s | Time: 0.4s
  Attempts: 13100000 | Rate: 35438929/s | Time: 0.4s
  Attempts: 13200000 | Rate: 35445425/s | Time: 0.4s
  Attempts: 13300000 | Rate: 35451747/s | Time: 0.4s
