
=== Wrapper Vanity Finder (0x47...ea91e) ===

Factory: 0xaa28020dda6b954d16208eccf873d79ac6533833
Init Code Hash: 0x12fa3fc440a2f07751522844301db74fcfc1092732273f79b9f65038c05241e0
Pattern: 0x47...ea91e

Searching with 28 CPU cores...

  Attempts: 9700000 | Rate: 35455210/s | Time: 0.3s
  Attempts: 9800000 | Rate: 35458705/s | Time: 0.3s
  Attempts: 9900000 | Rate: 35446834/s | Time: 0.3s
  Attempts: 10000000 | Rate: 35452236/s | Time: 0.3s
  Attempts: 10100000 | Rate: 35460874/s | Time: 0.3s
  Attempts: 10200000 | Rate: 35465877/s | Time: 0.3s
  Attempts: 10300000 | Rate: 35473531/s | Time: 0.3s
  Attempts: 10400000 | Rate: 35479786/s | Time: 0.3s
  Attempts: 10500000 | Rate: 35487536/s | Time: 0.3s
  Attempts: 10600000 | Rate: 35496663/s | Time: 0.3s
  Attempts: 10700000 | Rate: 35504378/s | Time: 0.3s
  Attempts: 10800000 | Rate: 35505602/s | Time: 0.3s
  Attempts: 10900000 | Rate: 35506303/s | Time: 0.3s
  Attempts: 11000000 | Rate: 35509176/s | Time: 0.3s
  Attempts: 11100000 | Rate: 35489496/s | Time: 0.3s
  Attempts: 11200000 | Rate: 35490293/s | Time: 0.3s
  Attempts: 11300000 | Rate: 35497429/s | Time: 0.3s
  Attempts: 11400000 | Rate: 35503320/s | Time: 0.3s
  Attempts: 11500000 | Rate: 35504835/s | Time: 0.3s
  Attempts: 11600000 | Rate: 35513186/s | Time: 0.3s
  Attempts: 11700000 | Rate: 35522283/s | Time: 0.3s
  Attempts: 11800000 | Rate: 35529161/s | Time: 0.3s
  Attempts: 11900000 | Rate: 35531751/s | Time: 0.3s
  Attempts: 12000000 | Rate: 35537900/s | Time: 0.3s
  Attempts: 12100000 | Rate: 35543943/s | Time: 0.3s
  Attempts: 12200000 | Rate: 35550471/s | Time: 0.3s
  Attempts: 12300000 | Rate: 35555492/s | Time: 0.3s
  Attempts: 12400000 | Rate: 35549338/s | Time: 0.3s
  Attempts: 12500000 | Rate: 35553857/s | Time: 0.4s
  Attempts: 12600000 | Rate: 35552858/s | Time: 0.4s
  Attempts: 12700000 | Rate: 35552099/s | Time: 0.4s
  Attempts: 12800000 | Rate: 35554529/s | Time: 0.4s
  Attempts: 12900000 | Rate: 35555169/s | Time: 0.4s
  Attempts: 13000000 | Rate: 35559736/s | Time: 0.4s
  Attempts: 13100000 | Rate: 35564154/s | Time: 0.4s
  Attempts: 13200000 | Rate: 35568700/s | Time: 0.4s
  Attempts: 13300000 | Rate: 35577189/s | Time: 0.4s
  Attempts: 13400000 | Rate: 35583017/s | Time: 0.4s
  Attempts: 13500000 | Rate: 35588202/s | Time: 0.4s
  Attempts: 13600000 | Rate: 35588616/s | Time: 0.4s
  Attempts: 13700000 | Rate: 35571353/s | Time: 0.4s
  Attempts: 13800000 | Rate: 35568464/s | Time: 0.4s
  Attempts: 13900000 | Rate: 35573096/s | Time: 0.4s
  Attempts: 14000000 | Rate: 35576013/s | Time: 0.4s
  Attempts: 14100000 | Rate: 35576883/s | Time: 0.4s
  Attempts: 14200000 | Rate: 35582337/s | Time: 0.4s
  Attempts: 14300000 | Rate: 35587116/s | Time: 0.4s
  Attempts: 14400000 | Rate: 35592438/s | Time: 0.4s
  Attempts: 14500000 | Rate: 35597330/s | Time: 0.4s
  Attempts: 14600000 | Rate: 35602768/s | Time: 0.4s
  Attempts: 14700000 | Rate: 35591003/s | Time: 0.4s
  Attempts: 14800000 | Rate: 35587117/s | Time: 0.4s
  Attempts: 14900000 | Rate: 35583010/s | Time: 0.4s
  Attempts: 15000000 | Rate: 35580355/s | Time: 0.4s
  Attempts: 15100000 | Rate: 35584862/s | Time: 0.4s
  Attempts: 15200000 | Rate: 35584645/s | Time: 0.4s
  Attempts: 15300000 | Rate: 35580284/s | Time: 0.4s
  Attempts: 15400000 | Rate: 35568768/s | Time: 0.4s
  Attempts: 15500000 | Rate: 35560731/s | Time: 0.4s
  Attempts: 15600000 | Rate: 35556740/s | Time: 0.4s
  Attempts: 15700000 | Rate: 35552719/s | Time: 0.4s
  Attempts: 15800000 | Rate: 35549704/s | Time: 0.4s
  Attempts: 15900000 | Rate: 35550639/s | Time: 0.4s
  Attempts: 16000000 | Rate: 35547494/s | Time: 0.5s
  Attempts: 16100000 | Rate: 35536150/s | Time: 0.5s
  Attempts: 16200000 | Rate: 35516124/s | Time: 0.5s
  Attempts: 16300000 | Rate: 35508988/s | Time: 0.5s
  Attempts: 16400000 | Rate: 35493598/s | Time: 0.5s
  Attempts: 16500000 | Rate: 35478438/s | Time: 0.5s
  Attempts: 16600000 | Rate: 35471054/s | Time: 0.5s
  Attempts: 16700000 | Rate: 35464284/s | Time: 0.5s
  Attempts: 16800000 | Rate: 35457141/s | Time: 0.5s
  Attempts: 16900000 | Rate: 35450599/s | Time: 0.5s
  Attempts: 17000000 | Rate: 35445306/s | Time: 0.5s
  Attempts: 17100000 | Rate: 35437097/s | Time: 0.5s
  Attempts: 17200000 | Rate: 35435113/s | Time: 0.5s
  Attempts: 17300000 | Rate: 35429954/s | Time: 0.5s
  Attempts: 17400000 | Rate: 35417660/s | Time: 0.5s
  Attempts: 17500000 | Rate: 35414908/s | Time: 0.5s
  Attempts: 17600000 | Rate: 35414159/s | Time: 0.5s
  Attempts: 17700000 | Rate: 35410861/s | Time: 0.5s
  Attempts: 17800000 | Rate: 35408190/s | Time: 0.5s
  Attempts: 17900000 | Rate: 35403649/s | Time: 0.5s
  Attempts: 18000000 | Rate: 35401460/s | Time: 0.5s
  Attempts: 18100000 | Rate: 35393261/s | Time: 0.5s
  Attempts: 18200000 | Rate: 35387434/s | Time: 0.5s
  Attempts: 18300000 | Rate: 35383227/s | Time: 0.5s
  Attempts: 18400000 | Rate: 35378121/s | Time: 0.5s
  Attempts: 18500000 | Rate: 35371955/s | Time: 0.5s
  Attempts: 18600000 | Rate: 35354642/s | Time: 0.5s
  Attempts: 18700000 | Rate: 35342859/s | Time: 0.5s
  Attempts: 18800000 | Rate: 35329004/s | Time: 0.5s
  Attempts: 18900000 | Rate: 35318385/s | Time: 0.5s
  Attempts: 19000000 | Rate: 35311835/s | Time: 0.5s
  Attempts: 19100000 | Rate: 35301980/s | Time: 0.5s
  Attempts: 19200000 | Rate: 35294421/s | Time: 0.5s
  Attempts: 19300000 | Rate: 35289630/s | Time: 0.5s
  Attempts: 19400000 | Rate: 35282692/s | Time: 0.5s
  Attempts: 19500000 | Rate: 35277464/s | Time: 0.6s
  Attempts: 19600000 | Rate: 35276899/s | Time: 0.6s
  Attempts: 19700000 | Rate: 35267324/s | Time: 0.6s
  Attempts: 19800000 | Rate: 35250973/s | Time: 0.6s
  Attempts: 19900000 | Rate: 35245146/s | Time: 0.6s
  Attempts: 20000000 | Rate: 35238386/s | Time: 0.6s
  Attempts: 20100000 | Rate: 35232962/s | Time: 0.6s
  Attempts: 20200000 | Rate: 35230743/s | Time: 0.6s
  Attempts: 20300000 | Rate: 35223826/s | Time: 0.6s
  Attempts: 20400000 | Rate: 35217073/s | Time: 0.6s
  Attempts: 20500000 | Rate: 35203196/s | Time: 0.6s
  Attempts: 20600000 | Rate: 35206294/s | Time: 0.6s
  Attempts: 20700000 | Rate: 35204654/s | Time: 0.6s
  Attempts: 20800000 | Rate: 35200097/s | Time: 0.6s
  Attempts: 20900000 | Rate: 35194638/s | Time: 0.6s
  Attempts: 21000000 | Rate: 35180629/s | Time: 0.6s
  Attempts: 21100000 | Rate: 35177580/s | Time: 0.6s
  Attempts: 21200000 | Rate: 35172825/s | Time: 0.6s
  Attempts: 21300000 | Rate: 35168842/s | Time: 0.6s
  Attempts: 21400000 | Rate: 35164948/s | Time: 0.6s
  Attempts: 21500000 | Rate: 35165106/s | Time: 0.6s
  Attempts: 21600000 | Rate: 35167374/s | Time: 0.6s
  Attempts: 21700000 | Rate: 35167599/s | Time: 0.6s
  Attempts: 21800000 | Rate: 35167305/s | Time: 0.6s
  Attempts: 21900000 | Rate: 35168252/s | Time: 0.6s
  Attempts: 22000000 | Rate: 35167563/s | Time: 0.6s
  Attempts: 22100000 | Rate: 35165365/s | Time: 0.6s
  Attempts: 22200000 | Rate: 35148119/s | Time: 0.6s
  Attempts: 22300000 | Rate: 35143010/s | Time: 0.6s
  Attempts: 22400000 | Rate: 35134550/s | Time: 0.6s
  Attempts: 22500000 | Rate: 35129492/s | Time: 0.6s
  Attempts: 22600000 | Rate: 35116413/s | Time: 0.6s
  Attempts: 22700000 | Rate: 35100968/s | Time: 0.6s
  Attempts: 22800000 | Rate: 35092749/s | Time: 0.6s
  Attempts: 22900000 | Rate: 35090117/s | Time: 0.7s
  Attempts: 23000000 | Rate: 35084667/s | Time: 0.7s
  Attempts: 23100000 | Rate: 35076332/s | Time: 0.7s
  Attempts: 23200000 | Rate: 35070474/s | Time: 0.7s
  Attempts: 23300000 | Rate: 35063070/s | Time: 0.7s
  Attempts: 23400000 | Rate: 35042122/s | Time: 0.7s
  Attempts: 23500000 | Rate: 35017106/s | Time: 0.7s
  Attempts: 23600000 | Rate: 35007760/s | Time: 0.7s
  Attempts: 23700000 | Rate: 34997663/s | Time: 0.7s
  Attempts: 23800000 | Rate: 34995030/s | Time: 0.7s
  Attempts: 23900000 | Rate: 34971335/s | Time: 0.7s
  Attempts: 24000000 | Rate: 34870127/s | Time: 0.7s
  Attempts: 24100000 | Rate: 34820660/s | Time: 0.7s
  Attempts: 24200000 | Rate: 34763014/s | Time: 0.7s
  Attempts: 24300000 | Rate: 34736328/s | Time: 0.7s
  Attempts: 24400000 | Rate: 34693719/s | Time: 0.7s
  Attempts: 24500000 | Rate: 34660529/s | Time: 0.7s
  Attempts: 24600000 | Rate: 34627865/s | Time: 0.7s
  Attempts: 24700000 | Rate: 34607772/s | Time: 0.7s
  Attempts: 24800000 | Rate: 34582819/s | Time: 0.7s
  Attempts: 24900000 | Rate: 34563388/s | Time: 0.7s
  Attempts: 25000000 | Rate: 34540586/s | Time: 0.7s
  Attempts: 25100000 | Rate: 34524896/s | Time: 0.7s
  Attempts: 25200000 | Rate: 34515425/s | Time: 0.7s
  Attempts: 25300000 | Rate: 34509740/s | Time: 0.7s
  Attempts: 25400000 | Rate: 34497662/s | Time: 0.7s
  Attempts: 25500000 | Rate: 34472261/s | Time: 0.7s
  Attempts: 25600000 | Rate: 34453138/s | Time: 0.7s
  Attempts: 25700000 | Rate: 34441722/s | Time: 0.7s
  Attempts: 25800000 | Rate: 34428242/s | Time: 0.7s
  Attempts: 25900000 | Rate: 34414532/s | Time: 0.8s
  Attempts: 26000000 | Rate: 34405054/s | Time: 0.8s
  Attempts: 26100000 | Rate: 34396529/s | Time: 0.8s
  Attempts: 26200000 | Rate: 34392825/s | Time: 0.8s
  Attempts: 26300000 | Rate: 34387640/s | Time: 0.8s
  Attempts: 26400000 | Rate: 34381707/s | Time: 0.8s
  Attempts: 26500000 | Rate: 34373023/s | Time: 0.8s
  Attempts: 26600000 | Rate: 34343360/s | Time: 0.8s
  Attempts: 26700000 | Rate: 34329505/s | Time: 0.8s
  Attempts: 26800000 | Rate: 34315221/s | Time: 0.8s
  Attempts: 26900000 | Rate: 34302704/s | Time: 0.8s
  Attempts: 27000000 | Rate: 34289198/s | Time: 0.8s
  Attempts: 27100000 | Rate: 34273352/s | Time: 0.8s
  Attempts: 27200000 | Rate: 34257177/s | Time: 0.8s
  Attempts: 27300000 | Rate: 34249320/s | Time: 0.8s
  Attempts: 27400000 | Rate: 34244119/s | Time: 0.8s
  Attempts: 27500000 | Rate: 34244651/s | Time: 0.8s
  Attempts: 27600000 | Rate: 34236058/s | Time: 0.8s
  Attempts: 27700000 | Rate: 34214189/s | Time: 0.8s
